"읍면동별","식량작물별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"요촌동","미곡","면적[㏊]","㏊","261","261","271","271","214","214","265","253","160","160","149","323",
"요촌동","미곡","생산량[M/T]","M/T","1331.1","1331.1","1219","1219","1179","1179","1182","1073","536","536","917","1808.8",
"요촌동","맥류","면적[㏊]","㏊","7","7","1","1","","","","","75","75","15","15.3",
"요촌동","맥류","생산량[M/T]","M/T","30.1","30.1","4.3","4.3","","","","","0","0","52","51.6",
"요촌동","잡곡","면적[㏊]","㏊","2","2","6.8","6.8","6","6",".03",".02","0","0","1",".5",
"요촌동","잡곡","생산량[M/T]","M/T","5.2","5.2","17.7","17.7","14.6","14.6","1",".8","0","0","1","1.5",
"요촌동","두류","면적[㏊]","㏊","2.5","2.5","3.8","3.8","3.8","3.8","2.2","1.1","53","53","89","14",
"요촌동","두류","생산량[M/T]","M/T","4.3","4.3","6.5","6.5","6.5","6.5","23.3","19.1","177","177","279","45.4",
"요촌동","서류","면적[㏊]","㏊","2.5","2.5","4","4","3","","2.8","2","2","2","11","11.2",
"요촌동","서류","생산량[M/T]","M/T","45.1","45.1","72","72","54","","50","45","45","45","195","180",
"신풍동","합계","면적[㏊]","㏊","1292.6","1340.6","1327.6","1320.8","1263","1257","1245","1245","1283","1283","1226","1262.5",
"신풍동","합계","생산량[M/T]","M/T","6692.2","6450.5","10510.4","10495.4","6898.1","6786.1","6767","6767","6851","6851","6996","7002.7",
"신풍동","미곡","면적[㏊]","㏊","1247","1295","1295","1295","1186","1186","1186","1186","1093","1093","1022","1186",
"신풍동","미곡","생산량[M/T]","M/T","6484.4","6240","10360","10360","6523","6523","6523","6523","5985","5985","6275","6641.6",
"신풍동","맥류","면적[㏊]","㏊","16","16","4","3","50","50","45","45","120","120","25","25.1",
"신풍동","맥류","생산량[M/T]","M/T","67.6","72.1","16","13.5","224.5","224.5","207","207","668","668","84","84.5",
"신풍동","잡곡","면적[㏊]","㏊","4","4","3","2.8","6","6","5","5","6","6","1","1.2",
"신풍동","잡곡","생산량[M/T]","M/T","10","10","6","5.9","14.6","14.6","13","13","16","16","3","3.3",
"신풍동","두류","면적[㏊]","㏊","20.2","20.2","20.2","15","15","15","9","9","64","64","168","41.3",
"신풍동","두류","생산량[M/T]","M/T","34.4","34.4","34.4","24","24","24","24","24","182","182","498","134.2",
"신풍동","서류","면적[㏊]","㏊","5.4","5.4","5.4","5","6","","","","0","0","9","8.9",
"신풍동","서류","생산량[M/T]","M/T","95.8","94","94","92","112","","","","","","136","139.1",
"검산동","합계","면적[㏊]","㏊","520.6","573.6","510","510","525","460","461","464","505","505","494","522.9",
"검산동","합계","생산량[M/T]","M/T","3033.8","22301.5","23055.7","23055.7","3723","2493","2493.2","2504","2590","2590","2818","3078.9",
"검산동","미곡","면적[㏊]","㏊","453","506","437","437","449","449","449","449","356","356","317","449",
"검산동","미곡","생산량[M/T]","M/T","2287.7","21555.3","22258","22258","2470","2470","2467","2467","1929","1929","1945","2514.4",
"검산동","맥류","면적[㏊]","㏊","6.5","6.5","4","4","2","2","2","5","80","80","11","10.5",
"검산동","맥류","생산량[M/T]","M/T","24.8","24.8","16","16","9.2","9.2","9.2","20","481","481","34","34.7",
