"행정구역(읍면)별","작물별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"상서면","합계","생산량[M/T]","M/T","5065.1","5492.7","5178.5","5191.2","4941.7","5004","5169.1","5207.2","4750.9","5127.5","5469.6","5423.1","4908",
"상서면","미곡","면적[㏊]","㏊","748","792","751","748.7","727.7","720.4","724.2","770.9","721.2","677.9","660","691","652.1",
"상서면","미곡","생산량[M/T]","M/T","3728","3960","3755","3743.5","3905.6","3907","4127","4367.9","3995.4","3708.1","3431.7","3396.8","3501.5",
"상서면","맥류","면적[㏊]","㏊","212.3","227.1","239.3","249.3","263","202.5","200.5","222.1","173","377","377","377","219.4",
"상서면","맥류","생산량[M/T]","M/T","688.1","922.2","970.7","1009.7","618.6","674.5","629.3","685.7","605","1266","1840.7","1753.4","981.1",
"상서면","잡곡","면적[㏊]","㏊","46.2","39.6","40.1","44.5","45.4","45","46.1","8.2","8.2","8.3","8.1","11.8","11",
"상서면","잡곡","생산량[M/T]","M/T","90.7","63.8","66.3","71.2","84.2","82.6","73","9.2","13.4","13","11.5","26.5","31.7",
"상서면","두류","면적[㏊]","㏊","52.2","50.2","46.7","51.8","52.2","50.3","50.3","53","45","14.8","36.7","38.1","89.7",
"상서면","두류","생산량[M/T]","M/T","118","108.5","104.1","82.9","99.3","111","111","96","86.7","90","125.8","127.5","266.1",
"상서면","서류","면적[㏊]","㏊","20.5","20","13.1","14.3","14.3","14.1","14.1","3.5","3.8","3.8","3.8","6.6","6.4",
"상서면","서류","생산량[M/T]","M/T","440.3","438.2","282.4","284","234","228.8","228.8","48.4","50.4","50.4","59.9","118.9","127.6",
"하서면","합계","면적[㏊]","㏊","1166.8","1141.4","1117.7","1089.9","1079.2","1038.4","1042.1","1144.4","968.9","930.2","920.5","955.7","920.9",
"하서면","합계","생산량[M/T]","M/T","5678.4","5693.2","5364.4","5183.3","5087.7","5181","5385.3","5684.1","4969","4815.2","4612.6","4528.4","4621.9",
"하서면","미곡","면적[㏊]","㏊","778","801","800","797.6","775.2","767.4","773.1","836.6","756.5","731.3","712","743","704.2",
"하서면","미곡","생산량[M/T]","M/T","3901","4005","4000","3988","4160.5","4164.7","4406","4740.2","4191","4000.2","3702.1","3667.2","3771.9",
"하서면","맥류","면적[㏊]","㏊","279.4","236","221.7","188.4","198.8","172.2","169.2","177.7","108","123","123","130","119.9",
"하서면","맥류","생산량[M/T]","M/T","1111.2","987.9","916","763","467.6","581.2","556.9","568","388","433","571.4","527","486.4",
"하서면","잡곡","면적[㏊]","㏊","41.6","39.9","39","43.4","44.3","44.1","45.1","44","43.5","43.6","43.1","41.1","41.1",
"하서면","잡곡","생산량[M/T]","M/T","70.4","62.3","60.6","69.4","82.3","81.6","68.9","50.3","61.4","60.5","55.8","51.6","51.6",
"하서면","두류","면적[㏊]","㏊","43.5","40.8","41","45.5","45.9","40","40","70.6","44.5","16.8","25.9","25.1","39.2",
"하서면","두류","생산량[M/T]","M/T","102.2","89.6","91.8","72.8","87.3","71.4","71.4","127.8","94.6","87.5","81.2","80.5","110",
"하서면","서류","면적[㏊]","㏊","24.3","23.7","16","15","15","14.7","14.7","15.5","16.4","15.5","16.5","16.5","16.5",
"하서면","서류","생산량[M/T]","M/T","493.6","548.4","296","290","290","282.2","282.2","197.8","234","234","202","202","202",
"줄포면","합계","면적[㏊]","㏊","892.6","900.3","784.6","793.5","777.2","727.2","670.6","659.5","626.5","489.3","487.1","488.5","441.2",
"줄포면","합계","생산량[M/T]","M/T","4443.6","4524.3","3617.3","3570.9","3758","3716","3522.3","3611.7","3166.2","2676.7","2534.9","2502.2","2586.8",
"줄포면","미곡","면적[㏊]","㏊","733","751","654","652","633.7","619.4","562.1","606.3","526.5","470.6","458.2","460.2","421.4",
