"읍면동별","맥류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"공덕면","겉보리","생산량[M/T]","M/T","66","66","74.8","74.8","90","90","90","90","243.7","144.8","152.5","156.8",
"공덕면","겉보리","단위생산량[㎏/10a]","㎏/10a","440","440","440","440","450","450","450","450","716.8","321","321","330",
"공덕면","쌀보리","면적[㏊]","㏊","143","143","142","142","140","140","170","170","185.4","104.4","101.4","101.4",
"공덕면","쌀보리","생산량[M/T]","M/T","614.9","614.9","610.6","610.6","616","616","765","765","918.6","351.8","341.7","334.6",
"공덕면","쌀보리","단위생산량[㎏/10a]","㎏/10a","430","430","430","430","440","440","450","450","495.5","337","337","330",
"공덕면","밀","면적[㏊]","㏊","11.7","11.7","10","10","11","11","14","14","59.6","1.9","2.2","2.2",
"공덕면","밀","생산량[M/T]","M/T","56.2","56.2","48","48","39.6","39.6","40","40","193.7","8","9.3","8.8",
"공덕면","밀","단위생산량[㎏/10a]","㎏/10a","480","480","480","480","360","360","285","285","325","421.1","421.1","400",
"공덕면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"공덕면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"공덕면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"공덕면","맥주보리","면적[㏊]","㏊","","","","","","","-","","","","-","0",
"공덕면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","","-","0",
"공덕면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","-","0",
"청하면","합계","면적[㏊]","㏊","88","480","190.4","186","152","132","200","200","275","183.5","179","183.6",
"청하면","합계","생산량[M/T]","M/T","371.4","1920","844","837","672","632","900","900","1361","612.7","591","613.6",
"청하면","겉보리","면적[㏊]","㏊","19","80","30","25","","","-","","","71.9","69.8","69.8",
"청하면","겉보리","생산량[M/T]","M/T","79.8","330","123","95","","","-","","","230.8","224.1","230.3",
"청하면","겉보리","단위생산량[㎏/10a]","㎏/10a","420","412","410","380","","","-","","","321","321","330",
"청하면","쌀보리","면적[㏊]","㏊","51","200","152","154","140","120","200","200","275","104.6","102.8","102.8",
"청하면","쌀보리","생산량[M/T]","M/T","229.5","900","684","712.6","630","590","900","900","1361","352.5","346.4","339.2",
"청하면","쌀보리","단위생산량[㎏/10a]","㎏/10a","450","450","450","462","450","450","450","450","494.9","337","337","330",
"청하면","밀","면적[㏊]","㏊","18","200","8.4","7","12","12","-","","","7","6.4","11",
"청하면","밀","생산량[M/T]","M/T","62.1","690","36","29.4","42","42","-","","","29.4","20.5","44",
"청하면","밀","단위생산량[㎏/10a]","㎏/10a","345","345","430","420","350","350","-","","","320","320","400",
"청하면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"청하면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"청하면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"청하면","맥주보리","면적[㏊]","㏊","","","","","","","-","","","","-","0",
"청하면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","","-","0",
"청하면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","-","0",
"성덕면","합계","면적[㏊]","㏊","212.4","245.1","261.8","261.8","235","211","232","189","264","658.3","665.2","665.2",
"성덕면","합계","생산량[M/T]","M/T","942.6","1156","1309","1309","1061.6","1041.6","1058","967","1428","2200.6","2228.9","2225.5",
"성덕면","겉보리","면적[㏊]","㏊","55","54","54","54","40","20","29","23","37","241.9","239.5","239.5",
"성덕면","겉보리","생산량[M/T]","M/T","220.6","265","270","270","180","160","133.4","152","305.7","776.5","768.8","790.4",
