"읍면동별","두류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2020 년","2021 년",
"요촌동","콩","면적[㏊]","㏊","2.5","2.5","3.8","3.8","3.8","3.8","2","1","53","88.7","13.9",
"요촌동","콩","생산량[M/T]","M/T","4.3","4.3","6.5","6.5","6.5","6.5","23","19","177","278.4","45.2",
"요촌동","콩","단위생산량[㎏/10a]","㎏/10a","172","172","171","171","171","171","1150","1900","334","313.9","325",
"요촌동","팥","면적[㏊]","㏊","","","","-","","",".2",".1",".1",".1",".1",
"요촌동","팥","생산량[M/T]","M/T","","","","-","","",".3",".1",".1",".2",".2",
"요촌동","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","150","112","100","200","200",
"요촌동","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"요촌동","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"요촌동","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"요촌동","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"요촌동","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"요촌동","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"신풍동","합계","면적[㏊]","㏊","20.2","20.2","20.2","15","15","9","9","9","64","168.4","41.3",
"신풍동","합계","생산량[M/T]","M/T","34.4","34.4","34.4","24","24","24","24","24","182","497.6","134.2",
"신풍동","콩","면적[㏊]","㏊","20","20","20","15","15","9","9","9","64","168.4","41.3",
"신풍동","콩","생산량[M/T]","M/T","34","34","34","24","24","24","24","24","182","497.6","134.2",
"신풍동","콩","단위생산량[㎏/10a]","㎏/10a","170","170","170","160","160","160","160","266.7","284.4","295.5","325",
"신풍동","팥","면적[㏊]","㏊","","","","-","","","","","","0","-",
"신풍동","팥","생산량[M/T]","M/T","","","","-","","","","","","0","-",
"신풍동","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","-","200",
"신풍동","녹두","면적[㏊]","㏊",".2",".2",".2","-","","","","","","","-",
"신풍동","녹두","생산량[M/T]","M/T",".4",".4",".4","-","","","","","","","-",
"신풍동","녹두","단위생산량[㎏/10a]","㎏/10a","200","200","200","-","","","","","","","-",
"신풍동","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"신풍동","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"신풍동","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"검산동","합계","면적[㏊]","㏊","5.1","5.1","7","7","7","7","7","7","65","137.1","33.7",
